id;name;number_of_reviews;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;reviews_per_month
6707949;Central Top Floor Apt + Terrace close Sofía Museum;172;31/03/2021;97;10;10;10;10;10;10;0;243
6719521;Cosy Apartment in Central Madrid;12;23/12/2015;90;9;9;10;10;10;9;0;17
6720118;2 room flat+location+breakfast+wifi+tv+dvd;37;02/01/2020;95;10;9;10;10;10;10;1;63
6720443;2roomflat+located++breakfast+wifi;429;31/03/2021;89;9;8;9;9;10;8;1;605
6720500;charming and sunny apartment;0;01/12/1999;0;0;0;0;0;0;0;0;0
6720967;Private room, 2min Retiro;0;01/12/1999;0;0;0;0;0;0;0;0;0
6721589;Encantadora Buhardilla Madrid;1;23/06/2015;0;0;0;0;0;0;0;0;1
6721667;Suite en Madrid;0;01/12/1999;0;0;0;0;0;0;0;0;0
6724149;Apartamento perfecto para 2. Zona junto Bernabéu;6;02/01/2020;100;10;9;10;10;10;10;0;9
6730039;Habitación Ópera;0;01/12/1999;0;0;0;0;0;0;0;0;0
6736860;Cozy basement in center of Madrid;7;13/06/2016;87;9;9;10;9;10;9;0;1
6739068;Luz y color en el centro de Madrid;0;01/12/1999;0;0;0;0;0;0;0;0;0
6743322;Bunk beds(90cm), private room;21;06/03/2020;96;10;10;9;9;10;10;1;3
6747276;Isabel and Fernando.;5;28/02/2021;100;10;9;10;10;10;9;0;7
6747485;El Cid y Doña Jimena;3;24/04/2016;100;10;10;9;9;10;10;0;5
6754002;LOVELY APARTMENT MADRID CENTER;1;08/12/2015;80;8;10;10;8;10;8;0;2
6764727;Popeye y Olivia;1;06/07/2015;100;10;10;10;10;10;10;0;1
6765383;Ventas Relax Alcalá;9;19/01/2021;100;10;10;10;10;10;10;0;26
6767861;Habitacion tranquila en Chamberi;6;18/10/2020;100;10;9;10;10;10;10;0;19
6769374;Plaza Mayor central, 4 people, 45 m2, 1 BR,  1BTHR;283;19/03/2021;91;9;9;9;10;10;9;1;398
6771751;HABITACIÓN AGOSTO;0;01/12/1999;0;0;0;0;0;0;0;0;0
6771783;Habit. privada, muy cosy&céntrica!;34;22/12/2016;95;10;10;10;10;10;10;0;49
6787248;Habitación en Goya con baño privado;2;19/08/2015;100;8;8;10;10;10;10;0;3
6790344;COZY APARTMENT MALASAÑA -CHUECA;4;04/03/2019;90;10;8;10;10;10;9;0;8
6790972;In the heart of Chueca;0;01/12/1999;0;0;0;0;0;0;0;0;0
6804292;Bright apartment with patio;0;01/12/1999;0;0;0;0;0;0;0;0;0
6806362;Ático muy luminoso con piscina;7;08/04/2016;97;10;10;9;10;9;10;0;1
6808363;Habitación  privada en Callao, Madrid;29;03/10/2019;94;9;9;10;10;10;9;0;48
6827442;Habitación doble con baño privado en Madrid;317;01/03/2021;99;10;10;10;10;10;10;1;452
6832931;Apto.centro Madrid (Latina) 4 pax.;0;01/12/1999;0;0;0;0;0;0;0;0;0
6833266;Singleroom ground floor patio house;90;25/01/2021;94;9;9;10;10;9;9;0;128
6834233;COSY & COMFORT CENTRAL APT — RASTRO;11;04/08/2016;98;10;10;10;10;9;10;1;16
6835848;Paseo del Prado with swimming pool;0;01/12/1999;0;0;0;0;0;0;0;0;0
6840314;Room in the center for Champions Final!;46;08/04/2019;95;10;9;10;10;10;9;1;145
6841120;Bright single room Madrid Central;77;07/09/2020;92;10;10;10;10;10;9;0;109
6848207;atico cerca del retiro;0;01/12/1999;0;0;0;0;0;0;0;0;0
6851621;Genial Buhardilla La Latina Madrid;0;01/12/1999;0;0;0;0;0;0;0;0;0
6856706;Cozy Oasis in the heart of Madrid;2;03/09/2015;50;5;5;8;7;7;5;0;3
6858202;"Apartment in ""centro norte"" buiding";219;06/04/2021;95;10;9;10;10;10;9;1;309
