name,latitude,longitude
Agreeable flat with a centric location in Atocha,40.40546,-3.69213
Amazing apartment at Plaza Oriente,40.4183,-3.71239
Elegant apartment  in the best area,40.42722,-3.68388
Deluxe 2 bedroom ap-up to 8 people,40.41391,-3.70264
Spacious Apartment-Atocha-Prado,40.40224,-3.70001
NEW STUDIO MADRID CITY CENTER SOL,40.4150,-3.70582
HABITACIONES  CÉNTRICAS EN MALASAÑA,40.42609,-3.7043
Lovely apartment in Madrid- Puerta Cerrada Square,40.41324,-3.70651
Sun+Balcon+Light+Relax+Green24hWIFI,40.40777,-3.74013
SPRING SALES  AT Madrid Malasaña,40.42744,-3.70658
Puerta Alcala-5.2sqf 4-6 Dec availa,40.41835,-3.68955
Madrid by day & by night,40.42505,-3.71101
habitación en el Centro de Madrid!,40.40773,-3.69476
Habitacion Madrid Centro (Chamberi),40.43358,-3.70524
Bright Spacious Family Apartment,40.42661,-3.70222
Modern Quiet Studio Loft,40.42986,-3.7023
Big and Nice apartment with 2 Bedroom& 2 Bathrooms,40.43165,-3.70152
Room in pretty home Santa Rosa Street Madrid,40.40215,-3.66263
Santiago Bernabeu- best Madrid views- WI-Fi- ADSL,40.45126,-3.69369
LowCost&Confortable flat in SOL,40.41369,-3.70252
Preciosa casa equipada,40.44796,-3.66138
Fabulous apartment Madrid center,40.41156,-3.70546
APARTMENT 4PAX 2HB CENTRO GRAN VIA PUERTA DEL SOL,40.42337,-3.70113
Room BB- wifi  15´cent +sanchinarro,40.4869,-3.65722
Habitación amplia en centro Madrid,40.43316,-3.71393
Great Room in Argüelles—Moncloa,40.43736,-3.71721
Apartamento de lujo en pleno centro,40.41095,-3.71199
ATTIC IN THE CALLE MAYOR,40.41523,-3.70831
Cozy apartment near Madrid airport,40.47479,-3.57467
CENTER OF MADRID WIFI+PARKING 5,40.41667,-3.6756
Masía el Ferrajón,40.46549,-3.75115
400+ great reviews CAN´T be wrong. Superb location,40.4287,-3.6862
BEDROOM LOOKING ONTO A NICE PATIO,40.40786,-3.70223
Cozy flat in the heart of Madrid,40.41045,-3.7057
Private room in Madrid,40.44338,-3.69662
Habitación en piso  con encanto barrio  Chambéry,40.43542,-3.70755
AN ART DESIGNED IN MADRID HEART,40.40946,-3.69809
BRIGHT APARTMENT IN THE CENTER -SOL,40.42001,-3.70824
Unbeatable location- high ceilings-,40.41483,-3.70927
DOUBLE ROOM IN NICE AND SUNNY APART,40.43812,-3.7108
APARTMENT 4PAX 2ROOM GRAN VIA CENTRO PUERTA SOL,40.42555,-3.70427
APARTMENT4PAX CENTRO GRAN VIA PUERTA SOL  MALASAÑA,40.42266,-3.70525
Flat Nuevo.Metro 90 seconds.  Bedroom.Private bath,40.46544,-3.69534
Top Location :Thyssen & Prado !,40.41328,-3.69498
Place&Price:Amazing Location-70m2-2rooms-Wifi-XBOX,40.41707,-3.70536
Gran apartamento completo en centro- Madrid,40.42208,-3.70471
MADRID SUNNY APARTMENT CITYCENTER,40.43747,-3.69949
Golden Mile. Best Location. Single bed 5? reviews,40.4287,-3.6862
Peaceful apartment in Malasaña,40.4259,-3.7025
Architect's Gem w/ Green Patio & Free TrainTicket*,40.40912,-3.70074
Relaxing double room in Chueca,40.42463,-3.69692
2flats ideally located! Flat X:4pax,40.41301,-3.70848
2flats ideally located! Flat Y:4pax,40.41368,-3.70544
2flats idealy located! FlatsX + Y:8pax,40.41353,-3.70715
400+ great reviews cannot be wrong. Best location,40.4287,-3.6862
double bedroom with private bathroom,40.39651,-3.69944
Acogedor estudio abuhardillado en La Latina,40.40795,-3.70673
GREAT ATTIC-BARRIO DE LAS LETRA,40.4134,-3.6973
room at home in the centre of mad,40.42951,-3.7019
Luminosa Buhardilla Gran Via -Wifi-,40.42117,-3.71103
SUNNY ROOM wiht WIFI,40.40259,-3.6642
Buhardilla-Studio in Chueca- Madrid,40.42204,-3.69989
THE COOL MADRID | CITY CENTRE - WIFI / AirCo,40.42361,-3.69809
CENTRALLY LOCATED ROOM 10 MIN SOL 6,40.42422,-3.70078
central & bright 14mt2 room,40.42414,-3.67547
Bonito estudio en lavapies-wifi.a/c,40.40965,-3.70341
Very well located small studio in Madrid,40.43401,-3.70052
Newly Renovated Apartment in Madrid,40.43454,-3.70036
2 bedroom attic in Madrid center,40.41163,-3.69811
Apartamento en corrala,40.4085,-3.69743
Double room with private bathroom,40.41353,-3.71157
Chamberi : Genuine Madrid | Hab 1,40.43752,-3.70019
Paseo del Prado Apartments by Allô Housing,40.41179,-3.69622
Hipster Studios in Anton Martin by Allô Housing,40.41018,-3.69925
Room Mate Madrid - Luxury living in Madrid center- 2GB | SUPERIOR ROOM,40.43907,-3.70305
NICE & BIG DOUBLE ROOM AT DOWNTOWN,40.43715,-3.71356
Nice Penthouse 10´ Madrid Center,40.34993,-3.70594
Room for rent for days- weeks,40.35618,-3.69082
LUXURY FLAT  IN FRONT OF THE PRADO,40.41031,-3.69438
Sol/Gran Vía. Lo más céntrico de Madrid.,40.42087,-3.70118
FAMILY FRIENDLY: crib- highchair / Early Check In,40.40698,-3.67882
LUXURY APARTMENT/Privileged location,40.4183,-3.70731
Chambre d'hòtes au Centre de MADRID,40.3969,-3.71329
LIGHT- AIRY IN THE CENTER + WIFI AND A/C,40.40786,-3.70223
MADRID CENTER WIFI-PARKING+TERRACE,40.41816,-3.67559
