id;name;host_id;host_since;host_response_time;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified
45778405;Gran via - Habitación con baño privado;151651894;22/09/2017;within an hour;;0;0;1
45778694;Alquiler Habitación Semanal Centro MADRID;260360017;07/05/2019;within an hour;;0;1;1
45778740;Alquiler Habitación Mensual Centro Madrid Para 2;260360017;07/05/2019;within an hour;;0;1;1
45780494;Se alquila habitación espaciosa y Cómoda;371140319;08/10/2020;within a day;;0;2;1
45781993;Se alquila habitación cómoda y espaciosa;371140319;08/10/2020;within a day;;0;2;1
45784524;Habitación Vicalvaro;87315361;01/08/2016;Sin definir;;0;0;1
45791711;Amplia y luminosa habitación con baño privado;156870128;31/10/2017;within a few hours;;0;4;0
45792049;Studio in Madrid;371083519;07/10/2020;within an hour;;0;0;1
45792983;Apartment with 2 bedrooms in Madrid, with WiFi;371083868;07/10/2020;Sin definir;;0;0;1
45798190;Cozy Studio Lavapies;371279819;09/10/2020;within a day;;0;0;0
45799210;COZY ROOM - Bario Salamanca;371279819;09/10/2020;within a day;;0;0;0
45800886;Piso ideal en el centro de Madrid;29496857;17/03/2015;within a day;;0;0;1
45807546;Alquilo Habitacion céntrica y muy bien comunicada;371352290;10/10/2020;a few days or more;;0;1;0
45807881;PRECIOSA HABITACION INDIVIDUAL WITH BATHROOM;211991262;27/08/2018;within an hour;;0;10;1
45808556;Se alquila preciosa habitacion en barrio céntrico;371359357;10/10/2020;within a few hours;;0;6;0
45809420;Habitación por días, semanas o meses;47467890;26/10/2015;within a day;;0;1;0
45810951;Piso de 3 habs completo en vallecas;338637196;24/02/2020;a few days or more;;0;21;1
45814256;Apartamento Amplio y Lujoso Lavapiés Atocha 3 habitaciones  6 PAX;352650970;30/06/2020;within an hour;;1;0;1
45814646;Estupenda habitacion  individual en el centro;316605917;11/12/2019;Sin definir;;0;3;1
45818516;Habitación doble con baño privado con terraza;371136152;08/10/2020;a few days or more;;0;1;1
45821601;Apartamento reformado de 1 habitacion;371480042;11/10/2020;a few days or more;;0;0;0
45822566;Habitación con techos altos y ambiente agradable;2811326;02/07/2012;within an hour;;1;0;1
45823524;Doble Room +Balcony 1 min from ATOCHA;159471714;20/11/2017;Sin definir;;0;2;0
45824832;Quiet Room in Madrid;371507557;11/10/2020;a few days or more;;0;1;1
45826077;Habitación con terraza en Diego de León;362901500;17/08/2020;within an hour;;0;0;0
45830525;Hello La Latina!;77736183;14/06/2016;within an hour;;0;11;1
45833039;D - LOW COST / CITY CENTRE;38248634;12/07/2015;within an hour;;0;11;1
